k,score
1,0.5986515259048971
1,0.5979418026969482
1,0.6108942512420156
1,0.589070262597587
1,0.5862313697657914
1,0.5826827537260468
1,0.5837473385379702
1,0.5846344925479063
1,0.5856990773598296
1,0.5821504613200852
1,0.5872959545777147
1,0.5915542938254081
1,0.5908445706174592
1,0.592264017033357
1,0.5924414478353442
1,0.5826827537260468
1,0.5915542938254081
1,0.5908445706174592
1,0.5865862313697658
1,0.5913768630234209
1,0.5894251242015613
1,0.596167494677076
1,0.5731014904187367
1,0.5947480482611781
1,0.5956352022711142
1,0.575762952448545
1,0.585166784953868
1,0.5926188786373314
1,0.5929737402413059
1,0.6004258339247693
1,0.5958126330731015
1,0.6029098651525905
1,0.5894251242015613
1,0.5897799858055358
1,0.5855216465578424
1,0.5935060326472675
1,0.5958126330731015
1,0.5738112136266856
1,0.5858765081618169
1,0.5920865862313698
1,0.5828601845280341
1,0.5869410929737402
1,0.597764371894961
1,0.57097232079489
1,0.5872959545777147
1,0.5876508161816891
1,0.592264017033357
1,0.5936834634492548
1,0.5951029098651526
1,0.5894251242015613
1,0.5949254790631654
1,0.5809084457061746
1,0.5810858765081618
1,0.5897799858055358
1,0.5974095102909865
1,0.5833924769339958
1,0.5903122782114976
1,0.5936834634492548
1,0.5906671398154719
1,0.5816181689141235
1,0.5807310149041873
1,0.5793115684882896
1,0.5917317246273953
1,0.5931511710432931
1,0.5849893541518808
1,0.5952803406671399
1,0.5800212916962385
1,0.5915542938254081
1,0.6013129879347054
1,0.5970546486870121
1,0.576472675656494
1,0.5897799858055358
1,0.5837473385379702
1,0.593860894251242
1,0.5858765081618169
1,0.5933286018452804
1,0.5819730305180979
1,0.5892476933995742
1,0.587473385379702
1,0.5904897090134847
1,0.595457771469127
1,0.5833924769339958
1,0.5917317246273953
1,0.6041518807665011
1,0.600958126330731
1,0.5837473385379702
1,0.5943931866572036
1,0.589070262597587
1,0.5904897090134847
1,0.5926188786373314
1,0.5947480482611781
1,0.5734563520227112
1,0.597764371894961
1,0.592264017033357
1,0.580376153300213
1,0.5903122782114976
1,0.5848119233498935
1,0.6004258339247693
1,0.5988289567068843
1,0.5915542938254081
2,0.5842796309439319
2,0.5784244144783535
2,0.5848119233498935
2,0.585166784953868
2,0.5732789212207239
2,0.579666430092264
2,0.584457061745919
2,0.5842796309439319
2,0.5782469836763662
2,0.5871185237757275
2,0.587473385379702
2,0.5920865862313698
2,0.5812633073101491
2,0.5837473385379702
2,0.5798438608942512
2,0.6057487579843861
2,0.595457771469127
2,0.5759403832505323
2,0.5856990773598296
2,0.6029098651525905
2,0.5913768630234209
2,0.5913768630234209
2,0.5894251242015613
2,0.5899574166075231
2,0.5966997870830376
2,0.5943931866572036
2,0.5872959545777147
2,0.5809084457061746
2,0.5897799858055358
2,0.5970546486870121
2,0.57097232079489
2,0.5911994322214337
2,0.5784244144783535
2,0.5924414478353442
2,0.5837473385379702
2,0.5826827537260468
2,0.5917317246273953
2,0.5933286018452804
2,0.5885379701916252
2,0.5842796309439319
2,0.5878282469836764
2,0.5881831085876508
2,0.5816181689141235
2,0.5775372604684174
2,0.5998935415188077
2,0.5904897090134847
2,0.5864088005677786
2,0.5899574166075231
2,0.5888928317955997
2,0.5878282469836764
2,0.5881831085876508
2,0.5959900638750887
2,0.5784244144783535
2,0.5883605393896381
2,0.5896025550035486
2,0.5798438608942512
2,0.5917317246273953
2,0.592264017033357
2,0.5876508161816891
2,0.5883605393896381
2,0.5919091554293825
2,0.5903122782114976
2,0.5908445706174592
2,0.5771823988644429
2,0.5920865862313698
2,0.6006032647267565
2,0.5825053229240597
2,0.586763662171753
2,0.5839247693399574
2,0.5720369056068133
2,0.5945706174591909
2,0.5789567068843151
2,0.5906671398154719
2,0.5739886444286728
2,0.5812633073101491
2,0.5855216465578424
2,0.5935060326472675
2,0.5826827537260468
2,0.5725691980127751
2,0.5917317246273953
2,0.5943931866572036
2,0.597764371894961
2,0.580376153300213
2,0.5897799858055358
2,0.593860894251242
2,0.5936834634492548
2,0.5821504613200852
2,0.5810858765081618
2,0.5927963094393187
2,0.5929737402413059
2,0.5837473385379702
2,0.5888928317955997
2,0.579666430092264
2,0.5848119233498935
2,0.5855216465578424
2,0.6006032647267565
2,0.585166784953868
2,0.5881831085876508
