p,score
1.0,0.6572036905606813
1.0,0.665542938254081
1.0,0.6664300922640171
1.0,0.6698012775017743
1.0,0.673527324343506
1.0,0.6634137686302342
1.0,0.6690915542938254
1.0,0.6795599716110717
1.0,0.6683818310858765
1.0,0.6682044002838893
1.0,0.670333569907736
1.0,0.6682044002838893
1.0,0.6658977998580553
1.0,0.6667849538679915
1.0,0.6713981547196594
1.0,0.6745919091554294
1.0,0.6712207239176721
1.0,0.6698012775017743
1.0,0.6737047551454932
1.0,0.6713981547196594
1.0,0.6740596167494677
1.0,0.6724627395315826
1.0,0.6650106458481192
1.0,0.6676721078779276
1.0,0.6710432931156849
1.0,0.6674946770759403
1.0,0.673527324343506
1.0,0.670333569907736
1.0,0.6612845990063875
1.0,0.6763662171753017
1.0,0.6724627395315826
1.0,0.6717530163236338
1.0,0.6745919091554294
1.0,0.6692689850958127
1.0,0.6712207239176721
1.0,0.6774308019872249
1.0,0.6657203690560681
1.0,0.6772533711852378
1.0,0.6682044002838893
1.0,0.6753016323633783
1.0,0.6685592618878637
1.0,0.6662526614620298
1.0,0.6698012775017743
1.0,0.6497515968772178
1.0,0.6694464158977999
1.0,0.6673172462739532
1.0,0.6745919091554294
1.0,0.6754790631653655
1.0,0.6667849538679915
1.0,0.6783179559971612
1.0,0.6770759403832506
1.0,0.6754790631653655
1.0,0.6715755855216465
1.0,0.6658977998580553
1.0,0.6595102909865153
1.0,0.6674946770759403
1.0,0.6804471256210078
1.0,0.6772533711852378
1.0,0.660929737402413
1.0,0.6728176011355571
1.0,0.6744144783534421
1.0,0.6586231369765791
1.0,0.6767210787792761
1.0,0.6623491838183109
1.0,0.6694464158977999
1.0,0.6690915542938254
1.0,0.6676721078779276
1.0,0.6643009226401704
1.0,0.6690915542938254
1.0,0.6673172462739532
1.0,0.6724627395315826
1.0,0.6728176011355571
1.0,0.673527324343506
1.0,0.6706884315117104
1.0,0.6685592618878637
1.0,0.6618168914123492
1.0,0.6690915542938254
1.0,0.6676721078779276
1.0,0.6710432931156849
1.0,0.6662526614620298
1.0,0.6605748757984387
1.0,0.6770759403832506
1.0,0.6708658623136976
1.0,0.669623846699787
1.0,0.6650106458481192
1.0,0.6705110007097232
1.0,0.6666075230660042
1.0,0.6708658623136976
1.0,0.6669623846699787
1.0,0.6795599716110717
1.0,0.6694464158977999
1.0,0.6715755855216465
1.0,0.6687366926898509
1.0,0.6678495386799148
1.0,0.6639460610361959
1.0,0.6692689850958127
1.0,0.6754790631653655
1.0,0.6745919091554294
1.0,0.6699787083037615
1.0,0.6664300922640171
1.1,0.6747693399574166
1.1,0.67583392476934
1.1,0.6761887863733144
1.1,0.6765436479772888
1.1,0.6678495386799148
1.1,0.663236337828247
1.1,0.6614620298083748
1.1,0.6676721078779276
1.1,0.6772533711852378
1.1,0.6687366926898509
1.1,0.6644783534421576
1.1,0.6651880766501065
1.1,0.6788502484031228
1.1,0.6724627395315826
1.1,0.6650106458481192
1.1,0.6673172462739532
1.1,0.6710432931156849
1.1,0.6627040454222853
1.1,0.6671398154719659
1.1,0.6738821859474805
1.1,0.6745919091554294
1.1,0.6788502484031228
1.1,0.673527324343506
1.1,0.669623846699787
1.1,0.6694464158977999
1.1,0.6651880766501065
1.1,0.6747693399574166
1.1,0.6660752306600426
1.1,0.6706884315117104
1.1,0.6644783534421576
1.1,0.6676721078779276
1.1,0.6726401703335699
1.1,0.6745919091554294
1.1,0.6753016323633783
1.1,0.6792051100070973
1.1,0.6737047551454932
1.1,0.6699787083037615
1.1,0.6666075230660042
1.1,0.6708658623136976
1.1,0.6722853087295955
1.1,0.6690915542938254
1.1,0.6728176011355571
1.1,0.6699787083037615
1.1,0.6724627395315826
1.1,0.6751242015613911
1.1,0.6745919091554294
1.1,0.6765436479772888
1.1,0.6667849538679915
1.1,0.6669623846699787
1.1,0.6726401703335699
1.1,0.6671398154719659
1.1,0.6651880766501065
1.1,0.6722853087295955
1.1,0.6694464158977999
1.1,0.6667849538679915
1.1,0.6740596167494677
1.1,0.6808019872249823
1.1,0.6685592618878637
1.1,0.6641234918381831
1.1,0.6754790631653655
1.1,0.664833215046132
1.1,0.6745919091554294
1.1,0.6744144783534421
1.1,0.6621717530163236
1.1,0.6694464158977999
1.1,0.6694464158977999
1.1,0.6680269694819021
1.1,0.6724627395315826
1.1,0.6747693399574166
1.1,0.6761887863733144
1.1,0.6715755855216465
1.1,0.6644783534421576
1.1,0.6680269694819021
1.1,0.6627040454222853
1.1,0.662526614620298
1.1,0.6616394606103619
1.1,0.674237047551455
1.1,0.6751242015613911
1.1,0.6643009226401704
1.1,0.6715755855216465
1.1,0.6717530163236338
1.1,0.6705110007097232
1.1,0.6701561391057488
1.1,0.6667849538679915
1.1,0.6692689850958127
1.1,0.6705110007097232
1.1,0.6674946770759403
1.1,0.6650106458481192
1.1,0.6690915542938254
1.1,0.6731724627395316
1.1,0.6651880766501065
1.1,0.6680269694819021
1.1,0.6809794180269695
1.1,0.669623846699787
1.1,0.6754790631653655
1.1,0.6690915542938254
1.1,0.6651880766501065
1.1,0.6800922640170334
1.1,0.6710432931156849
1.1,0.6728176011355571
1.2000000000000002,0.6699787083037615
1.2000000000000002,0.6699787083037615
1.2000000000000002,0.6717530163236338
1.2000000000000002,0.6674946770759403
1.2000000000000002,0.6621717530163236
1.2000000000000002,0.6666075230660042
1.2000000000000002,0.6671398154719659
1.2000000000000002,0.6713981547196594
1.2000000000000002,0.6754790631653655
1.2000000000000002,0.6639460610361959
1.2000000000000002,0.6795599716110717
1.2000000000000002,0.6673172462739532
1.2000000000000002,0.6751242015613911
1.2000000000000002,0.6683818310858765
1.2000000000000002,0.6593328601845281
1.2000000000000002,0.6600425833924769
1.2000000000000002,0.6726401703335699
1.2000000000000002,0.6680269694819021
1.2000000000000002,0.67583392476934
1.2000000000000002,0.6674946770759403
1.2000000000000002,0.6683818310858765
1.2000000000000002,0.6685592618878637
1.2000000000000002,0.6644783534421576
1.2000000000000002,0.6664300922640171
1.2000000000000002,0.6708658623136976
1.2000000000000002,0.6673172462739532
1.2000000000000002,0.6651880766501065
1.2000000000000002,0.6706884315117104
1.2000000000000002,0.6687366926898509
1.2000000000000002,0.681334279630944
1.2000000000000002,0.6710432931156849
1.2000000000000002,0.6792051100070973
1.2000000000000002,0.6713981547196594
1.2000000000000002,0.6666075230660042
1.2000000000000002,0.6673172462739532
1.2000000000000002,0.6767210787792761
1.2000000000000002,0.6694464158977999
1.2000000000000002,0.6705110007097232
1.2000000000000002,0.6717530163236338
1.2000000000000002,0.6660752306600426
1.2000000000000002,0.6692689850958127
1.2000000000000002,0.6639460610361959
1.2000000000000002,0.663236337828247
1.2000000000000002,0.663236337828247
1.2000000000000002,0.6698012775017743
1.2000000000000002,0.6708658623136976
1.2000000000000002,0.6767210787792761
1.2000000000000002,0.6682044002838893
1.2000000000000002,0.665542938254081
1.2000000000000002,0.6669623846699787
1.2000000000000002,0.6733498935415189
1.2000000000000002,0.671930447125621
1.2000000000000002,0.670333569907736
1.2000000000000002,0.6664300922640171
1.2000000000000002,0.6676721078779276
1.2000000000000002,0.6726401703335699
1.2000000000000002,0.670333569907736
1.2000000000000002,0.67583392476934
1.2000000000000002,0.6651880766501065
1.2000000000000002,0.6689141234918382
1.2000000000000002,0.6593328601845281
1.2000000000000002,0.6713981547196594
1.2000000000000002,0.6678495386799148
1.2000000000000002,0.6756564939673527
1.2000000000000002,0.6683818310858765
1.2000000000000002,0.6683818310858765
1.2000000000000002,0.6643009226401704
1.2000000000000002,0.664833215046132
1.2000000000000002,0.6667849538679915
1.2000000000000002,0.6639460610361959
1.2000000000000002,0.6712207239176721
1.2000000000000002,0.6747693399574166
1.2000000000000002,0.6699787083037615
1.2000000000000002,0.664833215046132
1.2000000000000002,0.6733498935415189
1.2000000000000002,0.6621717530163236
1.2000000000000002,0.6671398154719659
1.2000000000000002,0.6749467707594038
1.2000000000000002,0.6671398154719659
1.2000000000000002,0.6705110007097232
1.2000000000000002,0.6767210787792761
1.2000000000000002,0.6676721078779276
1.2000000000000002,0.6650106458481192
1.2000000000000002,0.6664300922640171
1.2000000000000002,0.6708658623136976
1.2000000000000002,0.670333569907736
1.2000000000000002,0.671930447125621
