c,score
0.1,0.4957416607523066
0.1,0.49964513839602553
0.1,0.4987579843860894
0.1,0.49538679914833217
0.1,0.4950319375443577
0.1,0.4955642299503194
0.1,0.4962739531582683
0.1,0.49982256919801277
0.1,0.4985805535841022
0.1,0.49662881476224274
0.1,0.6722853087295955
0.1,0.49982256919801277
0.1,0.4971611071682044
0.1,0.49751596877217885
0.1,0.4978708303761533
0.1,0.4978708303761533
0.1,0.49982256919801277
0.1,0.4992902767920511
0.1,0.49680624556423
0.1,0.4982256919801277
0.1,0.49467707594038324
0.1,0.49343506032647266
0.1,0.4943222143364088
0.1,0.49804826117814055
0.1,0.49964513839602553
0.1,0.49467707594038324
0.1,0.49378992193044713
0.1,0.49964513839602553
0.1,0.49751596877217885
0.1,0.49024130589070264
0.1,0.4976933995741661
0.1,0.4957416607523066
0.1,0.4978708303761533
0.1,0.4982256919801277
0.1,0.4985805535841022
0.1,0.494499645138396
0.1,0.49982256919801277
0.1,0.4987579843860894
0.1,0.4994677075940383
0.1,0.4976933995741661
0.1,0.4982256919801277
0.1,0.49893541518807666
0.1,0.4962739531582683
0.1,0.4994677075940383
0.1,0.4971611071682044
0.1,0.49964513839602553
0.1,0.49840312278211496
0.1,0.4973385379701916
0.1,0.49804826117814055
0.1,0.4964513839602555
0.1,0.4992902767920511
0.1,0.4976933995741661
0.1,0.4987579843860894
0.1,0.6770759403832506
0.1,0.4992902767920511
0.1,0.4973385379701916
0.1,0.49538679914833217
0.1,0.4991128459900639
0.1,0.4978708303761533
0.1,0.49893541518807666
0.1,0.49609652235628104
0.1,0.4973385379701916
0.1,0.49840312278211496
0.1,0.4964513839602555
0.1,0.49467707594038324
0.1,0.49680624556423
0.1,0.4987579843860894
0.1,0.4943222143364088
0.1,0.49840312278211496
0.1,0.4985805535841022
0.1,0.49964513839602553
0.1,0.4955642299503194
0.1,0.4991128459900639
0.1,0.49982256919801277
0.1,0.49680624556423
0.1,0.4973385379701916
0.1,0.49396735273243436
0.1,0.49467707594038324
0.1,0.4957416607523066
0.1,0.4982256919801277
0.1,0.49698367636621715
0.1,0.4991128459900639
0.1,0.6754790631653655
0.1,0.4991128459900639
0.1,0.4976933995741661
0.1,0.4971611071682044
0.1,0.4978708303761533
0.1,0.4991128459900639
0.1,0.49609652235628104
0.1,0.4976933995741661
0.1,0.4987579843860894
0.1,0.49893541518807666
0.1,0.4964513839602555
0.1,0.49893541518807666
0.1,0.494499645138396
0.1,0.49751596877217885
0.1,0.49804826117814055
0.1,0.4918381831085876
0.1,0.4987579843860894
0.1,0.494499645138396
0.2,0.49662881476224274
0.2,0.5003548616039745
0.2,0.4971611071682044
0.2,0.6770759403832506
0.2,0.5154364797728885
0.2,0.49485450674237047
0.2,0.5044357700496807
0.2,0.5216465578424414
0.2,0.5030163236337828
0.2,0.4973385379701916
0.2,0.4962739531582683
0.2,0.49662881476224274
0.2,0.6126685592618879
0.2,0.5003548616039745
0.2,0.5010645848119234
0.2,0.5101135557132718
0.2,0.4978708303761533
0.2,0.535486160397445
0.2,0.5065649396735273
0.2,0.517388218594748
0.2,0.49538679914833217
0.2,0.4985805535841022
0.2,0.4992902767920511
0.2,0.4978708303761533
0.2,0.4978708303761533
0.2,0.4982256919801277
0.2,0.5028388928317956
0.2,0.4971611071682044
0.2,0.4936124911284599
0.2,0.5060326472675657
0.2,0.502306600425834
0.2,0.5046132008516678
0.2,0.5106458481192335
0.2,0.5188076650106459
0.2,0.49804826117814055
0.2,0.514194464158978
0.2,0.5042583392476934
0.2,0.5051454932576295
0.2,0.4909510290986515
0.2,0.5
0.2,0.5039034776437189
0.2,0.5262597586941093
0.2,0.5200496806245565
0.2,0.4957416607523066
0.2,0.5
0.2,0.49751596877217885
0.2,0.4991128459900639
0.2,0.5040809084457062
0.2,0.5090489709013485
0.2,0.5007097232079489
0.2,0.4978708303761533
0.2,0.5149041873669269
0.2,0.5072746628814763
0.2,0.5416962384669979
0.2,0.49378992193044713
0.2,0.508694109297374
0.2,0.5069198012775018
0.2,0.4982256919801277
0.2,0.4982256919801277
0.2,0.5007097232079489
0.2,0.4994677075940383
0.2,0.4991128459900639
0.2,0.494499645138396
0.2,0.5003548616039745
0.2,0.5104684173172462
0.2,0.509403832505323
0.2,0.4973385379701916
0.2,0.5330021291696239
0.2,0.5239531582682754
0.2,0.5012420156139106
0.2,0.4959190915542938
0.2,0.49485450674237047
0.2,0.5099361249112846
0.2,0.4978708303761533
0.2,0.49893541518807666
0.2,0.4994677075940383
0.2,0.5324698367636622
0.2,0.501596877217885
0.2,0.49804826117814055
0.2,0.49485450674237047
0.2,0.5014194464158978
0.2,0.502306600425834
0.2,0.4950319375443577
