game_date,team_id,opp_id,team_rush_avg,team_pass_avg,opp_rush_avg,opp_pass_avg,team_rush_weak,team_pass_weak,opp_rush_weak,opp_pass_weak,result
0008-09-20,204,392,149.5,173.0,147.5,183.5,237.5,147.0,78.0,353.5,0
0008-09-27,147,392,83.0,225.0,176.33333333333334,207.33333333333334,187.5,166.0,109.66666666666667,329.6666666666667,0
0008-10-04,746,392,58.666666666666664,179.0,163.5,198.5,229.33333333333334,216.0,138.75,285.0,1
0008-10-18,749,392,101.6,232.0,146.6,203.4,126.2,151.0,151.2,273.2,0
0008-10-25,490,392,105.83333333333333,182.66666666666666,145.5,224.5,174.0,271.1666666666667,138.16666666666666,252.0,0
0008-11-06,742,392,147.57142857142858,127.42857142857143,154.0,210.42857142857142,131.14285714285714,182.0,140.57142857142858,242.71428571428572,1
0008-11-15,457,392,130.375,192.375,133.25,214.125,138.625,208.625,157.75,228.25,0
0008-11-22,234,392,181.625,170.25,145.22222222222223,206.0,129.625,174.25,148.77777777777777,226.22222222222223,1
0008-11-29,67,392,138.1,184.8,141.0,200.3,101.0,169.8,151.3,219.6,1
0008-12-30,466,392,288.0,216.3,125.8,215.2,79.1,333.1,157.4,205.5,0
0009-09-05,107,392,181.0,166.6,137.0,219.4,134.2,192.2,165.2,200.2,1
0009-09-19,419,392,132.2,227.2,127.3,211.5,159.8,194.6,172.5,201.8,1
0009-09-26,587,392,128.8,295.3,130.6,223.1,115.0,234.0,158.6,221.8,1
0009-10-03,147,392,121.6,207.4,125.5,227.9,134.0,153.5,159.5,203.4,0
0009-10-10,749,392,137.6,213.2,118.6,216.4,136.0,191.2,160.3,208.1,1
0009-10-17,746,392,100.6,212.8,104.3,234.5,151.8,159.4,160.6,225.4,1
0009-10-24,193,392,81.7,243.6,119.4,226.3,158.6,230.3,139.4,226.5,1
0009-11-07,490,392,146.6,245.0,102.0,230.4,126.5,261.3,135.1,242.6,1
0009-11-14,742,392,206.9,167.2,102.7,231.7,145.0,170.7,131.6,260.9,1
0009-11-21,234,392,150.2,289.3,116.5,206.1,207.1,235.5,135.9,273.4,1
0009-11-28,67,392,136.4,177.9,110.0,207.6,113.1,230.4,144.1,257.0,1
0010-09-06,726,392,311.1,63.2,102.4,211.6,125.4,218.0,132.4,249.9,0
0010-09-18,768,392,176.2,177.3,112.7,183.9,145.7,198.0,164.9,222.1,1
0010-09-25,231,392,126.9,195.2,109.5,179.5,216.5,230.4,164.8,244.7,0
0010-10-02,193,392,74.6,300.7,120.0,183.0,189.9,220.4,168.4,260.9,0
0010-10-16,147,392,189.0,187.9,126.5,169.3,175.2,195.0,157.4,260.0,1
0010-10-23,67,392,108.0,188.6,117.0,184.1,86.5,234.5,160.2,258.1,0
0010-10-30,749,392,157.4,222.4,115.3,183.8,216.9,240.0,168.5,239.9,0
0010-11-06,415,392,167.1,232.7,130.6,186.1,160.5,180.2,154.3,221.4,1
0010-11-13,746,392,139.5,229.1,127.1,191.5,232.3,193.0,153.9,223.2,0
0010-11-20,234,392,194.2,202.9,121.1,199.1,130.8,216.3,143.3,231.6,1
0010-11-27,490,392,125.8,271.8,131.3,204.4,129.7,221.0,145.5,229.2,0
0010-12-29,196,392,122.5,318.5,104.4,245.0,238.6,238.5,116.6,253.0,0
0011-09-05,415,392,200.6,237.5,134.5,240.4,189.0,156.2,98.9,257.3,0
0011-09-17,768,392,154.4,209.9,132.0,250.2,91.4,172.6,104.4,241.3,1
0011-09-24,690,392,162.7,188.1,138.1,262.1,116.0,173.7,109.2,245.0,1
0011-10-08,255,392,350.7,117.5,138.2,251.0,178.0,206.1,128.6,247.1,1
0011-10-15,147,392,137.9,264.5,158.0,241.8,111.0,203.8,144.5,239.6,1
0011-10-22,234,392,115.8,240.1,160.9,241.0,137.3,223.4,175.4,250.8,1
0011-10-29,67,392,122.7,179.6,157.1,252.4,140.2,258.6,175.6,248.6,1
0011-11-05,746,392,154.1,238.2,163.2,241.4,157.4,208.1,203.9,222.8,1
0011-11-12,513,392,177.8,249.4,155.7,241.4,144.4,211.7,210.8,233.2,1
0011-11-19,749,392,120.2,233.2,171.0,221.6,157.9,262.4,220.0,231.7,1
0011-11-26,490,392,105.2,237.2,164.2,222.1,133.0,218.7,237.3,232.6,1
0012-09-08,690,392,272.5,117.9,169.0,203.9,137.6,184.6,233.4,243.7,0
0012-09-15,164,392,115.7,198.9,165.2,194.0,73.0,290.9,233.4,222.7,1
0012-09-22,768,392,163.9,330.2,170.5,185.4,149.3,227.7,220.1,215.7,1
0012-10-06,749,392,137.2,219.4,150.3,207.2,246.5,217.9,195.1,238.1,0
0012-10-13,746,392,125.0,266.5,126.5,208.6,185.1,226.6,171.6,228.1,0
0012-10-20,490,392,114.3,265.5,121.0,205.1,91.9,260.7,166.4,223.5,1
0012-10-27,67,392,93.6,233.1,121.9,212.8,227.6,244.1,133.0,251.0,1
0012-11-03,255,392,296.0,133.8,122.8,209.9,146.9,269.5,112.0,249.0,1
0012-11-10,147,392,202.0,310.1,122.7,199.5,170.1,259.9,127.5,222.5,1
0012-11-17,234,392,175.3,268.3,113.7,185.0,84.9,187.9,120.5,220.6,1
